,date,open,high,low,close,volume
0,2023-08-10 09:15:00+05:30,19605.55,19615.5,19574.85,19575.1,0
1,2023-08-10 09:20:00+05:30,19576.25,19587.5,19568.35,19580.7,0
2,2023-08-10 09:25:00+05:30,19580.15,19589.95,19577.4,19585.0,0
3,2023-08-10 09:30:00+05:30,19583.4,19602.9,19571.2,19600.05,0
4,2023-08-10 09:35:00+05:30,19600.25,19600.55,19590.1,19592.1,0
5,2023-08-10 09:40:00+05:30,19592.8,19594.35,19584.0,19590.45,0
6,2023-08-10 09:45:00+05:30,19590.5,19594.65,19575.3,19578.9,0
7,2023-08-10 09:50:00+05:30,19578.95,19587.45,19577.25,19582.75,0
8,2023-08-10 09:55:00+05:30,19583.6,19584.65,19578.2,19582.45,0
9,2023-08-10 10:00:00+05:30,19582.3,19605.45,19570.95,19596.75,0
10,2023-08-10 10:05:00+05:30,19598.15,19621.95,19598.15,19610.85,0
11,2023-08-10 10:10:00+05:30,19611.2,19619.35,19601.05,19617.8,0
12,2023-08-10 10:15:00+05:30,19617.35,19621.95,19605.0,19616.7,0
13,2023-08-10 10:20:00+05:30,19617.5,19621.3,19549.6,19557.8,0
14,2023-08-10 10:25:00+05:30,19555.45,19555.75,19534.8,19539.6,0
15,2023-08-10 10:30:00+05:30,19538.45,19540.2,19507.55,19514.2,0
16,2023-08-10 10:35:00+05:30,19514.8,19522.95,19503.5,19508.0,0
17,2023-08-10 10:40:00+05:30,19506.95,19510.05,19496.3,19505.9,0
18,2023-08-10 10:45:00+05:30,19506.3,19537.75,19503.5,19526.15,0
19,2023-08-10 10:50:00+05:30,19526.2,19560.6,19522.05,19550.55,0
20,2023-08-10 10:55:00+05:30,19551.35,19557.1,19539.2,19545.95,0
21,2023-08-10 11:00:00+05:30,19545.75,19547.8,19531.85,19543.0,0
22,2023-08-10 11:05:00+05:30,19542.75,19554.1,19537.55,19538.9,0
23,2023-08-10 11:10:00+05:30,19538.9,19544.95,19534.6,19534.6,0
